,q_U234,q_U235,q_U236,q_U237,q_U238,q_Np237,q_Np238,q_Np239,q_Pu238,q_Pu239,q_Pu240,q_Pu241,q_Pu242,q_Am241,q_Am242M,q_Am243,q_Cm242,q_Cm243,q_Cm244,q_Cm245,q_residual,q_I135,q_Xe135,q_Nd147,q_Nd148,q_Pm147,q_Pm148,q_Pm148M,q_Pm149,q_Sm149,q_Gd154,q_Gd155,q_Gd156,q_Gd157,q_Gd158,q_Gd160,q_Eu157,q_Rh103,q_Ru103,q_Eu153
16_3,1.363392e-06,0.00013124869,9.820056e-06,1.9562e-08,0.006678552247,3.45407e-07,7.45e-10,4.01154e-07,2.6528e-08,2.0024021e-05,3.02321e-06,9.9576e-07,7.4372e-08,9.597e-09,1.13e-10,2.713e-09,1.01e-09,4e-12,1.39e-10,2e-12,1,4.742e-09,1.984e-09,6.5223e-08,9.39773e-07,8.87441e-07,3.783e-09,5.823e-09,8.003e-09,1.6676e-08,2.77e-10,7.9e-11,3.7523e-08,2.81e-10,1.6213e-08,1.248e-09,5.5e-11,1.479665e-06,4.35027e-07,1.53427e-07
5_4,1.516573e-06,0.000176139083,2.031791e-06,7.263e-09,0.006710597573,1.5792e-08,2.9e-11,3.78812e-07,1.08e-10,2.973741e-06,6.1907e-08,2.71e-09,1.9e-11,3e-12,0.0,0.0,0.0,0.0,0.0,0.0,1,4.811e-09,1.928e-09,5.8358e-08,1.05212e-07,7.5426e-08,2.24e-10,2.65e-10,6.678e-09,1.3289e-08,0.0,8e-12,6.79e-10,9.4e-11,7.03e-10,4.1e-11,2e-11,4.5808e-08,1.52366e-07,9.338e-09
29_1,9.96341e-07,5.6310332e-05,2.1635448e-05,3.9958e-08,0.006581067239,1.905583e-06,4.783e-09,4.73203e-07,5.36515e-07,3.3364521e-05,1.3183619e-05,6.991297e-06,2.303274e-06,1.96635e-07,3.633e-09,3.33648e-07,6.0976e-08,9.98e-10,7.3768e-08,2.862e-09,1,4.64e-09,1.792e-09,6.2701e-08,3.146334e-06,1.790553e-06,8.573e-09,1.2388e-08,1.0034e-08,1.8434e-08,1.103e-08,4.26e-10,4.46965e-07,7.03e-10,1.27132e-07,1.3318e-08,1.36e-10,5.709649e-06,5.6532e-07,9.1683e-07
30_1,9.5522e-07,5.014556e-05,2.2449582e-05,4.1741e-08,0.00656765083,2.117696e-06,5.411e-09,4.81989e-07,6.56784e-07,3.3819566e-05,1.4217877e-05,7.598003e-06,2.794188e-06,2.24718e-07,4.206e-09,4.41811e-07,7.4652e-08,1.34e-09,1.08862e-07,4.545e-09,1,4.63e-09,1.763e-09,6.2488e-08,3.420522e-06,1.829692e-06,8.888e-09,1.2672e-08,1.0199e-08,1.8379e-08,1.3987e-08,4.85e-10,5.48339e-07,7.65e-10,1.49029e-07,1.5743e-08,1.47e-10,6.16813e-06,5.75948e-07,1.025649e-06
10_3,1.465303e-06,0.000159903902,4.874166e-06,1.1903e-08,0.006700339237,9.496e-08,1.96e-10,3.84713e-07,2.915e-09,1.0122401e-05,7.0771e-07,1.11156e-07,3.049e-09,4.18e-10,3e-12,4e-11,1.8e-11,0.0,1e-12,0.0,1,4.784e-09,1.969e-09,6.6356e-08,3.79499e-07,3.80407e-07,1.526e-09,2.222e-09,7.156e-09,1.4781e-08,1.7e-11,3.5e-11,7.553e-09,1.66e-10,4.117e-09,2.65e-10,3.4e-11,4.10626e-07,3.32335e-07,4.3557e-08
32_1,8.97149e-07,4.2121293e-05,2.3432844e-05,4.4081e-08,0.00654750675,2.422813e-06,6.347e-09,4.94529e-07,8.54156e-07,3.4297158e-05,1.5605873e-05,8.389915e-06,3.574087e-06,2.63132e-07,4.994e-09,6.32348e-07,9.5567e-08,1.936e-09,1.80212e-07,8.26e-09,1,4.616e-09,1.722e-09,6.2206e-08,3.821796e-06,1.870244e-06,9.275e-09,1.2968e-08,1.0416e-08,1.8267e-08,1.9029e-08,5.75e-10,7.22759e-07,8.62e-10,1.84956e-07,1.9627e-08,1.64e-10,6.80417e-06,5.90235e-07,1.183797e-06
25_2,1.12969e-06,7.9183778e-05,1.8315203e-05,3.3532e-08,0.006620574533,1.254339e-06,2.972e-09,4.45417e-07,2.47166e-07,3.0916258e-05,9.588087e-06,4.807086e-06,1.058123e-06,1.07766e-07,1.86e-09,1.08724e-07,2.561e-08,2.93e-10,1.618e-08,4.69e-10,1,4.673e-09,1.883e-09,6.3458e-08,2.302083e-06,1.592428e-06,7.289e-09,1.0953e-08,9.425e-09,1.838e-08,4.391e-09,2.6e-10,2.16188e-07,5.3e-10,7.1913e-08,7.099e-09,1.03e-10,4.185721e-06,5.27299e-07,5.88528e-07
26_1,1.097972e-06,7.3330896e-05,1.9200399e-05,3.515e-08,0.006611675217,1.402965e-06,3.37e-09,4.51892e-07,3.03057e-07,3.1662466e-05,1.0470981e-05,5.350603e-06,1.306608e-06,1.27917e-07,2.254e-09,1.47119e-07,3.2619e-08,4.1e-10,2.4241e-08,7.6e-10,1,4.665e-09,1.862e-09,6.3266e-08,2.497476e-06,1.650504e-06,7.633e-09,1.1374e-08,9.581e-09,1.8434e-08,5.606e-09,2.95e-10,2.596e-07,5.68e-10,8.3154e-08,8.365e-09,1.11e-10,4.552375e-06,5.36903e-07,6.62604e-07
16_0,1.363392e-06,0.00013124869,9.820056e-06,1.9562e-08,0.006678552247,3.45407e-07,7.45e-10,4.01154e-07,2.6528e-08,2.0024021e-05,3.02321e-06,9.9576e-07,7.4372e-08,9.597e-09,1.13e-10,2.713e-09,1.01e-09,4e-12,1.39e-10,2e-12,1,4.742e-09,1.984e-09,6.5223e-08,9.39773e-07,8.87441e-07,3.783e-09,5.823e-09,8.003e-09,1.6676e-08,2.77e-10,7.9e-11,3.7523e-08,2.81e-10,1.6213e-08,1.248e-09,5.5e-11,1.479665e-06,4.35027e-07,1.53427e-07
4_2,1.524331e-06,0.000178721674,1.57802e-06,5.984e-09,0.006712109666,7.478e-09,1.2e-11,3.74305e-07,2.6e-11,1.723838e-06,2.2055e-08,5.77e-10,2e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.816e-09,1.919e-09,4.7927e-08,6.4388e-08,3.4964e-08,8.1e-11,8.7e-11,6.614e-09,1.2069e-08,0.0,4e-12,2.61e-10,8.1e-11,3.65e-10,2.2e-11,1.8e-11,1.8361e-08,1.02174e-07,5.246e-09
3_3,1.52883e-06,0.000180243056,1.310765e-06,4.774e-09,0.006712979659,3.537e-09,5e-12,3.67694e-07,6e-12,9.81449e-07,8.042e-09,1.32e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.819e-09,1.912e-09,3.679e-08,4.0763e-08,1.6077e-08,2.8e-11,2.8e-11,6.476e-09,9.706e-09,0.0,2e-12,1.06e-10,7e-11,1.94e-10,1.3e-11,1.6e-11,7.676e-09,6.8415e-08,2.979e-09
36_1,7.68798e-07,2.7114646e-05,2.4909612e-05,4.8432e-08,0.006496781641,3.105961e-06,8.57e-09,5.21458e-07,1.412299e-06,3.4895944e-05,1.834019e-05,9.863399e-06,5.661849e-06,3.37697e-07,6.53e-09,1.23779e-06,1.45115e-07,3.708e-09,4.75797e-07,2.5922e-08,1,4.584e-09,1.639e-09,6.1654e-08,4.785386e-06,1.909121e-06,9.902e-09,1.3276e-08,1.0824e-08,1.7962e-08,3.4421e-08,7.97e-10,1.275886e-06,1.127e-09,2.92122e-07,3.0417e-08,2.04e-10,8.157465e-06,6.18914e-07,1.546758e-06
38_2,7.12752e-07,2.1696923e-05,2.5246034e-05,4.9897e-08,0.006471161056,3.400848e-06,9.575e-09,5.32403e-07,1.710905e-06,3.5045829e-05,1.9382704e-05,1.039279e-05,6.735508e-06,3.64382e-07,7.079e-09,1.594889e-06,1.66539e-07,4.65e-09,6.94394e-07,4.0324e-08,1,4.571e-09,1.608e-09,6.1453e-08,5.251372e-06,1.908704e-06,1.0082e-08,1.3298e-08,1.0972e-08,1.7843e-08,4.335e-08,9.06e-10,1.612582e-06,1.272e-09,3.55637e-07,3.6281e-08,2.23e-10,8.725073e-06,6.30148e-07,1.709352e-06
20_4,1.275807e-06,0.00010975414,1.3431047e-05,2.5276e-08,0.00665824065,6.40481e-07,1.429e-09,4.16997e-07,7.5789e-08,2.5516563e-05,5.428124e-06,2.286736e-06,2.81176e-07,3.362e-08,4.92e-10,1.6779e-08,5.245e-09,3.5e-11,1.409e-09,2.6e-11,1,4.713e-09,1.96e-09,6.4463e-08,1.436361e-06,1.216491e-06,5.326e-09,8.213e-09,8.603e-09,1.7647e-08,1.033e-09,1.3e-10,8.1856e-08,3.71e-10,3.2142e-08,2.783e-09,7.2e-11,2.484092e-06,4.76191e-07,2.90134e-07
